"Name"	"Product"	"Parent_class"	"Pathways of gene"	"GO terms (biological process)"	"GO terms (cellular component)"	"GO terms (molecular function)"
"pks12"	"mycoketide-CoA synthase"	|Genes|	"&beta;-D-mannosyl phosphomycoketide biosynthesis"	"oxidation-reduction process" // "metabolic process"	"plasma membrane"	"transferase activity" // "identical protein binding" // "phosphopantetheine binding" // "oxidoreductase activity" // "catalytic activity"
"pks13"	"Pks13"	|Genes|	"superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	"biosynthetic process" // "metabolic process"	"plasma membrane"	"phosphopantetheine binding" // "hydrolase activity, acting on ester bonds" // "catalytic activity"
"pks15"	"probable polyketide synthase"	"UNCLASSIFIED"	""	"glycolipid biosynthetic process" // "metabolic process"	"plasma membrane" // "cytosol"	"cofactor binding" // "transferase activity" // "catalytic activity"
"pks16"	"putative polyketide synthase"	"UNCLASSIFIED"	""	"lipid biosynthetic process" // "fatty acid biosynthetic process" // "metabolic process"	"plasma membrane" // "cell wall"	"adenylyltransferase activity" // "ligase activity" // "catalytic activity"
"pks17"	"Pks17"	|Genes|	""	"growth" // "unsaturated fatty acid biosynthetic process"	"plasma membrane"	"phosphopantetheine binding"
"pks18"	"Alpha-pyrone synthesis polyketide synthase-like Pks18"	|ORFs|	""	"chalcone biosynthetic process" // "biosynthetic process" // "metabolic process" // "fatty acid biosynthetic process" // "fatty acid metabolic process" // "lipid metabolic process"	"plasma membrane"	"transferase activity, transferring acyl groups other than amino-acyl groups" // "transferase activity, transferring acyl groups" // "transferase activity" // "catalytic activity"
"pks2"	"phthioceranic/hydroxyphthioceranic acid synthase"	|Genes|	"mycobacterial sulfolipid biosynthesis"	"oxidation-reduction process" // "cellular response to iron ion starvation" // "metabolic process" // "fatty acid biosynthetic process" // "fatty acid metabolic process" // "lipid metabolic process"	"plasma membrane" // "cytosol" // "cell wall"	"phosphopantetheine binding" // "transferase activity, transferring acyl groups" // "transferase activity" // "oxidoreductase activity" // "catalytic activity"
"pks3"	"mycolipanoate synthase"	|Genes|	"polyacyltrehalose biosynthesis"	""	"plasma membrane"	""
"pks4"	"probable polyketide beta-ketoacyl synthase"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"pks5"	"probable polyketide synthase"	"UNCLASSIFIED"	""	"fatty acid biosynthetic process" // "fatty acid metabolic process" // "lipid metabolic process" // "oxidation-reduction process" // "pathogenesis" // "metabolic process"	"membrane" // "plasma membrane" // "cytosol" // "cell wall"	"phosphopantetheine binding" // "transferase activity, transferring acyl groups" // "transferase activity" // "oxidoreductase activity" // "catalytic activity"
"pks6"	"probable membrane bound polyketide synthase"	"UNCLASSIFIED"	""	"growth of symbiont in host cell" // "pathogenesis" // "biosynthetic process" // "lipid biosynthetic process" // "metabolic process"	"plasma membrane"	"transferase activity" // "phosphopantetheine binding" // "hydrolase activity, acting on ester bonds" // "catalytic activity"
"pks7"	"probable polyketide synthase"	"UNCLASSIFIED"	""	"DIM/DIP cell wall layer assembly" // "oxidation-reduction process" // "growth" // "pathogenesis" // "metabolic process"	"plasma membrane" // "cytosol" // "cell wall"	"transferase activity" // "phosphopantetheine binding" // "oxidoreductase activity" // "catalytic activity"
"pks8"	"Pks8"	|Genes|	""	"oxidation-reduction process" // "growth" // "metabolic process" // "unsaturated fatty acid biosynthetic process"	"plasma membrane"	"cofactor binding" // "transferase activity" // "oxidoreductase activity" // "zinc ion binding" // "catalytic activity"
"pks9"	"probable polyketide synthase"	"UNCLASSIFIED"	""	"metabolic process"	"plasma membrane"	"transferase activity" // "phosphopantetheine binding" // "catalytic activity"
"plasmid related"	""	"extrachromosomal"	""	""	""	""
"plcA"	"membrane-associated phospholipase C 1"	"UNCLASSIFIED"	"phospholipases"	"disruption by symbiont of host cellular component" // "pathogenesis" // "metabolic process"	"extracellular region" // "membrane" // "plasma membrane"	"catalytic activity" // "phosphatidylcholine phospholipase C activity" // "hydrolase activity, acting on ester bonds" // "hydrolase activity" // "phospholipase C activity"
"plcB"	"membrane-associated phospholipase C 2"	"UNCLASSIFIED"	"phospholipases"	"disruption by symbiont of host cellular component" // "pathogenesis" // "metabolic process"	"membrane" // "plasma membrane" // "extracellular region"	"catalytic activity" // "phosphatidylcholine phospholipase C activity" // "hydrolase activity, acting on ester bonds" // "hydrolase activity" // "phospholipase C activity"
"plcC"	"probable phospholipase C 3"	"UNCLASSIFIED"	"phospholipases"	"disruption by symbiont of host cellular component" // "pathogenesis" // "metabolic process"	"extracellular region"	"phospholipase C activity" // "catalytic activity" // "phosphatidylcholine phospholipase C activity" // "hydrolase activity, acting on ester bonds" // "hydrolase activity"
"plcD"	"probable phospholipase C 4 (fragment)"	|Truncated-Genes|	"phospholipases"	"metabolic process" // "disruption by symbiont of host cellular component" // "lipid catabolic process" // "pathogenesis"	""	"phospholipase C activity" // "catalytic activity" // "phosphatidylcholine phospholipase C activity" // "hydrolase activity, acting on ester bonds" // "hydrolase activity"
"plsB1"	"possible acyltransferase"	"UNCLASSIFIED"	""	"triglyceride biosynthetic process" // "fatty acid metabolic process" // "glycerol-3-phosphate metabolic process" // "cellular lipid metabolic process" // "phospholipid biosynthetic process" // "metabolic process"	"membrane" // "plasma membrane" // "cell wall"	"transferase activity, transferring acyl groups" // "transferase activity" // "O-acyltransferase activity" // "glycerol-3-phosphate O-acyltransferase activity"
"plsB2"	"probable glycerol-3-phosphate acyltransferase"	"UNCLASSIFIED"	"phosphatidylglycerol biosynthesis II (non-plastidic)" // "CDP-diacylglycerol biosynthesis I" // "phosphatidylglycerol biosynthesis I (plastidic)" // "CDP-diacylglycerol biosynthesis II"	"triglyceride biosynthetic process" // "fatty acid metabolic process" // "glycerol-3-phosphate metabolic process" // "cellular lipid metabolic process" // "CDP-diacylglycerol biosynthetic process" // "phospholipid biosynthetic process" // "metabolic process" // "lipid metabolic process"	"membrane" // "plasma membrane"	"sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity" // "transferase activity, transferring acyl groups" // "transferase activity" // "O-acyltransferase activity" // "glycerol-3-phosphate O-acyltransferase activity"
"plsC"	"possible transmembrane phospholipid biosynthesis bifunctional enzyme PlsC: putative L-3-phosphoserine phosphatase (O-phosphoserine phosphohydrolase) (PSP) (pspase) + 1-acyl-SN-glycerol-3-phosphate acyltransferase (1-AGP acyltransferase) (1-AGPAT) (lysophosphatidic acid acyltransferase) (LPAAT)"	"UNCLASSIFIED"	""	"phosphatidic acid biosynthetic process" // "metabolic process"	"plasma membrane"	"1-acylglycerol-3-phosphate O-acyltransferase activity" // "lysophosphatidic acid acyltransferase activity" // "transferase activity, transferring acyl groups" // "acylglycerol O-acyltransferase activity"
"pmmA"	"probable phosphomannomutase"	"UNCLASSIFIED"	"GDP-mannose biosynthesis"	"organic substance metabolic process" // "growth" // "glycolipid biosynthetic process" // "carbohydrate metabolic process"	"cytosol"	"intramolecular transferase activity, phosphotransferases" // "phosphomannomutase activity" // "phosphoglucomutase activity"
"pmmB"	"probable phosphomannomutase"	"UNCLASSIFIED"	"GDP-mannose biosynthesis"	"organic substance metabolic process" // "carbohydrate metabolic process"	"plasma membrane" // "cytosol"	"isomerase activity" // "metal ion binding" // "intramolecular transferase activity, phosphotransferases" // "magnesium ion binding"
"pncA"	"pyrazinamidase/nicotinamidase"	"UNCLASSIFIED"	"NAD salvage pathway I (PNC VI cycle)"	"response to antibiotic" // "pyridine nucleotide biosynthetic process" // "drug metabolic process" // "nicotinamide metabolic process" // "metabolic process"	"cytoplasm" // "cytosol"	"metal ion binding" // "manganese ion binding" // "hydrolase activity" // "nicotinamidase activity" // "ferrous iron binding" // "catalytic activity"
"pncB1"	"nicotinic acid phosphoribosyltransferase"	"UNCLASSIFIED"	"NAD salvage pathway I (PNC VI cycle)"	"NAD salvage" // "pyridine nucleotide biosynthetic process" // "nicotinate nucleotide salvage" // "NAD biosynthetic process"	"cytosol" // "cell wall"	"catalytic activity" // "nicotinamide phosphoribosyltransferase activity" // "ligase activity" // "transferase activity" // "nicotinate phosphoribosyltransferase activity" // "nicotinate-nucleotide diphosphorylase (carboxylating) activity"
"pncB2"	"nicotinic acid phosphoribosyltransferase"	"UNCLASSIFIED"	"NAD salvage pathway I (PNC VI cycle)"	"response to host" // "NAD salvage" // "pyridine nucleotide biosynthetic process" // "nicotinate nucleotide salvage" // "NAD biosynthetic process" // "response to hypoxia"	"cytosol" // "plasma membrane"	"catalytic activity" // "nicotinamide phosphoribosyltransferase activity" // "ligase activity" // "transferase activity" // "nicotinate phosphoribosyltransferase activity" // "nicotinate-nucleotide diphosphorylase (carboxylating) activity"
"pnp"	"probable 5'-methylthioadenosine phosphorylase"	"UNCLASSIFIED"	"<i>S</i>-methyl-5'-thioadenosine degradation II"	"L-methionine salvage from methylthioadenosine" // "nucleoside metabolic process" // "purine ribonucleoside salvage"	"cytoplasm" // "cytosol"	"S-methyl-5-thioadenosine phosphorylase activity" // "transferase activity, transferring glycosyl groups" // "transferase activity" // "catalytic activity"
"pntAa"	"probable NAD(P) transhydrogenase (subunit alpha)"	"UNCLASSIFIED"	"NAD phosphorylation and transhydrogenation" // "NAD phosphorylation and dephosphorylation"	"proton transmembrane transport" // "NADPH regeneration"	"plasma membrane"	"NAD(P)+ transhydrogenase activity" // "NAD binding" // "NADP binding" // "NAD(P)+ transhydrogenase (AB-specific) activity"
"pntAb"	"probable NAD(P) transhydrogenase (subunit alpha)"	"UNCLASSIFIED"	"NAD phosphorylation and transhydrogenation" // "NAD phosphorylation and dephosphorylation"	"proton transmembrane transport" // "NADPH regeneration"	"integral component of membrane" // "membrane" // "plasma membrane"	"NAD(P)+ transhydrogenase activity" // "NAD binding" // "NADP binding" // "NAD(P)+ transhydrogenase (AB-specific) activity"
"pntB"	"probable NAD(P) transhydrogenase (subunit beta)"	"UNCLASSIFIED"	"NAD phosphorylation and transhydrogenation" // "NAD phosphorylation and dephosphorylation"	"oxidation-reduction process"	"integral component of membrane" // "membrane" // "integral component of plasma membrane" // "plasma membrane"	"oxidoreductase activity" // "NADP binding" // "NAD(P)+ transhydrogenase (AB-specific) activity"
"polA"	"probable DNA polymerase I"	"UNCLASSIFIED"	""	"nucleic acid phosphodiester bond hydrolysis" // "DNA biosynthetic process" // "growth" // "cellular response to DNA damage stimulus" // "DNA repair" // "DNA-dependent DNA replication" // "DNA replication" // "nucleobase-containing compound metabolic process"	"cytosol" // "plasma membrane" // "cytoplasm" // "cell wall"	"hydrolase activity" // "nucleotidyltransferase activity" // "transferase activity" // "5'-3' exonuclease activity" // "3'-5' exonuclease activity" // "exonuclease activity" // "nuclease activity" // "DNA-directed DNA polymerase activity" // "catalytic activity" // "DNA binding" // "nucleic acid binding"
"polyamine biosynthesis"	""	"central intermediary metabolism"	""	""	""	""
"polysaccharides"	""	"degradation of macromolecules"	""	""	""	""
"ponA1"	"probable bifunctional penicillin-binding protein 1A/1B"	"UNCLASSIFIED"	"peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)"	"response to antibiotic" // "metabolic process" // "proteolysis" // "cell wall organization" // "cellular response to hypoxia" // "peptidoglycan biosynthetic process" // "regulation of cell shape"	"outer membrane-bounded periplasmic space" // "integral component of membrane" // "membrane" // "plasma membrane"	"drug binding" // "serine-type D-Ala-D-Ala carboxypeptidase activity" // "peptidoglycan glycosyltransferase activity" // "peptidase activity" // "carboxypeptidase activity" // "catalytic activity" // "hydrolase activity" // "transferase activity, transferring glycosyl groups" // "transferase activity" // "penicillin binding"
"ponA2"	"probable bifunctional membrane-associated penicillin-binding protein 1A/1B"	"UNCLASSIFIED"	"peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)"	"response to antibiotic" // "peptidoglycan biosynthetic process"	""	"transferase activity" // "peptidoglycan glycosyltransferase activity" // "drug binding" // "penicillin binding"
"posttranscriptional"	""	"type of regulation"	""	""	""	""
"posttranslational modification"	""	"protein related"	""	""	""	""
"ppa"	"inorganic pyrophosphatase"	"UNCLASSIFIED"	""	"phosphate-containing compound metabolic process"	"host cell surface" // "extracellular region" // "plasma membrane" // "cytosol" // "cytoplasm"	"metal ion binding" // "hydrolase activity" // "inorganic diphosphatase activity" // "magnesium ion binding"
"ppdK"	"probable pyruvate, phosphate dikinase"	"UNCLASSIFIED"	""	"phosphorylation" // "pyruvate metabolic process"	"cytosol"	"pyruvate, phosphate dikinase activity" // "transferase activity, transferring phosphorus-containing groups" // "kinase activity" // "ATP binding" // "catalytic activity"
"PPE1"	"PPE family protein PPE1"	"UNCLASSIFIED"	""	""	"integral component of membrane" // "membrane" // "plasma membrane"	""
"PPE10"	"PPE family protein PPE10"	"UNCLASSIFIED"	""	"evasion of host immune response"	""	""
"PPE11"	"PPE family protein PPE11"	"UNCLASSIFIED"	""	""	"plasma membrane" // "cytosol" // "extracellular region"	""
"PPE12"	"PPE family protein PPE12"	"UNCLASSIFIED"	""	"growth"	"extracellular region"	""
"PPE13"	"PPE family protein PPE13"	"UNCLASSIFIED"	""	"growth of symbiont in host cell"	"integral component of membrane" // "membrane" // "plasma membrane"	""
"PPE14"	"PPE family protein PPE14"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE15"	"PPE family protein PPE15"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE16"	"PPE family protein PPE16"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE17"	"PPE family protein PPE17"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE18"	"PPE family protein PPE18"	"UNCLASSIFIED"	""	"pathogenesis"	"cell surface" // "cell wall" // "extracellular region" // "plasma membrane"	""
"PPE19"	"PPE family protein PPE19"	"UNCLASSIFIED"	""	"response to host immune response"	"cell wall"	""
"PPE2"	"PPE family protein PPE2"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE20"	"PPE family protein PPE20"	"UNCLASSIFIED"	""	""	"extracellular region" // "plasma membrane"	""
"PPE21"	"PPE family protein PPE21"	"UNCLASSIFIED"	""	""	"integral component of membrane" // "membrane" // "plasma membrane"	""
"PPE22"	"PPE family protein PPE22"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE23"	"PPE family protein PPE23"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE24"	"PPE family protein PPE24"	"UNCLASSIFIED"	""	"growth"	"plasma membrane"	""
"PPE25"	"PPE family protein PPE25"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE26"	"PPE family protein PPE26"	"UNCLASSIFIED"	""	"pathogenesis"	""	""
"PPE27"	"PPE family protein PPE27"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE28"	"PPE family protein PPE28"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE29"	"PPE family protein PPE29"	"UNCLASSIFIED"	""	""	"cell wall"	""
"PPE3"	"PPE family protein PPE3"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE30"	"PPE family protein PPE30"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE31"	"PPE family protein PPE31"	|Truncated-Genes|	""	""	""	""
"PPE32"	"PPE family protein PPE32"	"UNCLASSIFIED"	""	""	""	""
"PPE33"	"PPE family protein PPE33"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE34"	"PPE family protein PPE34"	"UNCLASSIFIED"	""	"pathogenesis" // "modulation by symbiont of host immune response"	"membrane" // "cell surface" // "plasma membrane" // "cell wall" // "extracellular region"	""
"PPE35"	"PPE family protein PPE35"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE36"	"PPE family protein PPE36"	"UNCLASSIFIED"	""	""	"cytosol" // "membrane" // "plasma membrane"	""
"PPE37"	"PPE family protein PPE37"	"UNCLASSIFIED"	""	"response to host iron concentration" // "response to host immune response"	""	""
"PPE38"	"PPE family protein PPE38"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE39"	"PPE family protein PPE39"	"UNCLASSIFIED"	""	""	"extracellular region"	""
"PPE4"	"PPE family protein PPE4"	"UNCLASSIFIED"	""	"growth"	"integral component of membrane" // "membrane" // "plasma membrane"	""
"PPE40"	"PPE family protein PPE40"	"UNCLASSIFIED"	""	""	""	""
"PPE41"	"PPE family protein PPE41"	"UNCLASSIFIED"	""	"pathogenesis"	"cell surface" // "extracellular region"	"protein binding"
"PPE42"	"PPE family protein PPE42"	"UNCLASSIFIED"	""	"positive regulation by symbiont of host immune response"	"plasma membrane"	""
"PPE43"	"PPE family protein PPE43"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE44"	"PPE family protein PPE44"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE45"	"PPE family protein PPE45"	"UNCLASSIFIED"	""	""	"integral component of membrane" // "membrane" // "plasma membrane"	""
"PPE46"	"PPE family protein PPE46"	"UNCLASSIFIED"	""	"growth of symbiont in host cell" // "growth"	"plasma membrane"	""
"PPE47"	""	|Pseudo-Genes|	""	""	""	""
"PPE48"	""	|Pseudo-Genes|	""	""	""	""
"PPE49"	"PPE family protein PPE49"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE5"	"PPE family protein PPE5"	"UNCLASSIFIED"	""	""	""	""
"PPE50"	"PPE family protein PPE50"	"UNCLASSIFIED"	""	"growth"	""	""
"PPE51"	"PPE family protein PPE51"	"UNCLASSIFIED"	""	""	"plasma membrane" // "cell wall"	""
"PPE52"	"PPE family protein PPE52"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE53"	"PPE family protein PPE53"	"UNCLASSIFIED"	""	""	"extracellular region"	""
"PPE54"	"PPE family protein PPE54"	"UNCLASSIFIED"	""	"negative regulation by symbiont of host innate immune response" // "growth"	"plasma membrane"	""
"PPE55"	"PPE family protein PPE55"	"UNCLASSIFIED"	""	"positive regulation by symbiont of host immune response"	""	""
"PPE56"	"PPE family protein PPE56"	"UNCLASSIFIED"	""	""	""	""
"PPE57"	"PPE family protein PPE57"	"UNCLASSIFIED"	""	"pathogenesis"	"cell surface" // "cell wall" // "extracellular region"	""
"PPE58"	"PPE family protein PPE58"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE59"	"PPE family protein PPE59"	"UNCLASSIFIED"	""	""	""	""
"PPE6"	"PPE family protein PPE6"	"UNCLASSIFIED"	""	""	"plasma membrane" // "cytosol" // "cell wall"	""
"PPE60"	"PE family protein PPE60"	"UNCLASSIFIED"	""	""	""	""
"PPE61"	"PPE family protein PPE61"	"UNCLASSIFIED"	""	""	"extracellular region"	""
"PPE62"	"PPE family protein PPE62"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE63"	"PPE family protein PPE63"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE64"	"PPE family protein PPE64"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE65"	"PPE family protein PPE65"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE66"	"PPE family protein PPE66"	"UNCLASSIFIED"	""	""	"integral component of membrane" // "membrane" // "plasma membrane"	""
"PPE67"	"PPE family protein PPE67"	"UNCLASSIFIED"	""	""	"plasma membrane"	""
"PPE68"	"PPE family protein PPE68"	"UNCLASSIFIED"	""	"pathogenesis"	"cell surface" // "membrane" // "plasma membrane" // "cell wall" // "extracellular region"	"protein binding"
"PPE69"	"PPE family protein PPE69"	"UNCLASSIFIED"	""	""	"extracellular region"	""
"PPE7"	"PPE family protein PPE7"	"UNCLASSIFIED"	""	""	"extracellular region"	""
"PPE8"	"PPE family protein PPE8"	"UNCLASSIFIED"	""	""	""	""
"PPE9"	"PPE family protein PPE9"	"UNCLASSIFIED"	""	""	""	""
"ppgK"	G185E-6950-MONOMER	"carbon compounds" // "glycolysis" // "phosphorous metabolism"	""	"glucose 6-phosphate metabolic process" // "growth" // "phosphorylation"	"cytosol"	"polyphosphate-glucose phosphotransferase activity" // "transferase activity" // "kinase activity" // "ATP binding" // "glucokinase activity" // "nucleotide binding"
"ppiA"	"probable iron-regulated peptidyl-prolyl cis-trans isomerase A"	"UNCLASSIFIED"	""	"response to iron ion" // "protein folding" // "protein peptidyl-prolyl isomerization"	"plasma membrane" // "cytosol" // "cytoplasm" // "cell wall" // "extracellular region"	"isomerase activity" // "peptidyl-prolyl cis-trans isomerase activity"
"ppiB"	"probable peptidyl-prolyl cis-trans isomerase B"	"UNCLASSIFIED"	""	"growth" // "protein peptidyl-prolyl isomerization"	"outer membrane-bounded periplasmic space" // "integral component of plasma membrane" // "plasma membrane"	"isomerase activity" // "peptidyl-prolyl cis-trans isomerase activity"
"ppk1"	"polyphosphate kinase PPK"	"UNCLASSIFIED"	""	"protein autophosphorylation" // "growth" // "phosphorylation" // "stringent response" // "pathogenesis" // "response to oxidative stress" // "polyphosphate biosynthetic process" // "response to hypoxia"	"polyphosphate kinase complex" // "plasma membrane"	"metal ion binding" // "transferase activity" // "kinase activity" // "polyphosphate kinase activity" // "ATP binding" // "protein binding" // "magnesium ion binding" // "nucleotide binding"
"ppk2"	"polyphosphate kinase"	"UNCLASSIFIED"	""	"protein autophosphorylation" // "growth of symbiont in host vacuole" // "regulation of nucleotide biosynthetic process" // "phosphorylation" // "phosphorus metabolic process" // "GTP biosynthetic process"	"cytosol" // "plasma membrane"	"transferase activity" // "kinase activity" // "polyphosphate kinase activity" // "GTP binding" // "protein binding"
"ppm1"	"polyprenyl-phosphate &beta;-<small>D</small>-mannosyltransferase"	"UNCLASSIFIED"	"phosphatidylinositol mannoside biosynthesis"	"mannosylation" // "modulation by symbiont of host immune response" // "lipoprotein biosynthetic process" // "glycolipid biosynthetic process" // "nitrogen compound metabolic process"	"integral component of membrane" // "membrane" // "plasma membrane" // "cytosol" // "cell wall"	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds" // "hydrolase activity" // "transferase activity, transferring glycosyl groups" // "transferase activity, transferring acyl groups" // "transferase activity" // "N-acyltransferase activity" // "dolichyl-phosphate beta-D-mannosyltransferase activity"
"ppnK"	"inorganic polyphosphate/ATP-NAD kinase"	"UNCLASSIFIED"	"NAD phosphorylation and transhydrogenation" // "NAD phosphorylation and dephosphorylation"	"growth" // "NAD metabolic process" // "phosphorylation" // "metabolic process" // "polyphosphate metabolic process" // "NADP biosynthetic process"	"cytosol" // "cytoplasm"	"metal ion binding" // "NAD binding" // "transferase activity" // "kinase activity" // "ATP binding" // "NAD+ kinase activity" // "nucleotide binding"
"ppsA"	"phenolpthiocerol synthesis type-I polyketide synthase"	"UNCLASSIFIED"	"phthiocerol biosynthesis" // "phenolphthiocerol biosynthesis"	"phenolic phthiocerol biosynthetic process" // "phthiocerol biosynthetic process" // "DIM/DIP cell wall layer assembly" // "oxidation-reduction process" // "metabolic process" // "fatty acid biosynthetic process" // "fatty acid metabolic process" // "lipid metabolic process"	"polyketide synthase complex" // "plasma membrane" // "cell wall"	"phosphopantetheine binding" // "transferase activity" // "oxidoreductase activity" // "3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity" // "3-oxoacyl-[acyl-carrier-protein] synthase activity" // "catalytic activity" // "acyl carrier activity"
"ppsB"	"phenolpthiocerol synthesis type-I polyketide synthase"	"UNCLASSIFIED"	"phthiocerol biosynthesis" // "phenolphthiocerol biosynthesis"	"phenolic phthiocerol biosynthetic process" // "phthiocerol biosynthetic process" // "DIM/DIP cell wall layer assembly" // "oxidation-reduction process" // "metabolic process" // "fatty acid biosynthetic process" // "fatty acid metabolic process" // "lipid metabolic process"	"polyketide synthase complex" // "plasma membrane"	"phosphopantetheine binding" // "transferase activity" // "oxidoreductase activity" // "3-oxoacyl-[acyl-carrier-protein] synthase activity" // "catalytic activity"
"ppsC"	"phenolpthiocerol synthesis type-I polyketide synthase"	"UNCLASSIFIED"	"phthiocerol biosynthesis" // "phenolphthiocerol biosynthesis"	"phenolic phthiocerol biosynthetic process" // "phthiocerol biosynthetic process" // "DIM/DIP cell wall layer assembly" // "Actinobacterium-type cell wall biogenesis" // "oxidation-reduction process" // "metabolic process" // "fatty acid biosynthetic process" // "fatty acid metabolic process" // "lipid metabolic process"	"polyketide synthase complex" // "plasma membrane" // "cytosol"	"phosphopantetheine binding" // "transferase activity" // "oxidoreductase activity" // "3-oxoacyl-[acyl-carrier-protein] synthase activity" // "catalytic activity"
"ppsD"	"phenolpthiocerol synthesis type-I polyketide synthase"	"UNCLASSIFIED"	"phthiocerol biosynthesis" // "phenolphthiocerol biosynthesis"	"phenolic phthiocerol biosynthetic process" // "phthiocerol biosynthetic process" // "DIM/DIP cell wall layer assembly" // "oxidation-reduction process" // "metabolic process" // "fatty acid biosynthetic process" // "fatty acid metabolic process" // "lipid metabolic process"	"polyketide synthase complex" // "plasma membrane"	"phosphopantetheine binding" // "transferase activity" // "oxidoreductase activity" // "3-oxoacyl-[acyl-carrier-protein] synthase activity" // "catalytic activity"
"ppsE"	"phenolpthiocerol synthesis type-I polyketide synthase"	"UNCLASSIFIED"	"phthiocerol biosynthesis" // "phenolphthiocerol biosynthesis"	"Actinobacterium-type cell wall biogenesis" // "lipid biosynthetic process" // "DIM/DIP cell wall layer assembly" // "oxidation-reduction process" // "metabolic process" // "fatty acid biosynthetic process" // "fatty acid metabolic process" // "lipid metabolic process"	"polyketide synthase complex" // "plasma membrane" // "cell wall"	"phosphopantetheine binding" // "transferase activity" // "oxidoreductase activity" // "3-oxoacyl-[acyl-carrier-protein] synthase activity" // "catalytic activity"
"pptT"	"phosphopantetheinyl transferase"	"UNCLASSIFIED"	"acyl carrier protein activation"	"siderophore biosynthetic process" // "siderophore biosynthetic process from catechol" // "enterobactin biosynthetic process"	"intrinsic component of plasma membrane" // "enterobactin synthetase complex" // "plasma membrane"	"metal ion binding" // "phosphotransferase activity, for other substituted phosphate groups" // "transferase activity" // "holo-[acyl-carrier-protein] synthase activity" // "protein binding" // "magnesium ion binding"
"ppx1"	"Exopolyphosphatase 1"	|ORFs|	""	"phosphorus metabolic process"	"cytosol"	"exopolyphosphatase activity" // "pyrophosphatase activity" // "hydrolase activity"
"ppx2"	"Exopolyphosphatase 2"	"UNCLASSIFIED"	""	"growth"	"cytosol" // "plasma membrane"	"hydrolase activity" // "exopolyphosphatase activity"
"pqqE"	"probable coenzyme PQQ synthesis protein E"	"UNCLASSIFIED"	""	""	"cytosol" // "plasma membrane"	"4 iron, 4 sulfur cluster binding" // "iron-sulfur cluster binding" // "metal ion binding" // "transferase activity" // "catalytic activity"
"pra"	"probable proline-rich antigen homolog"	"UNCLASSIFIED"	""	""	"plasma membrane" // "cell wall" // "extracellular region"	""
"prcA"	"proteasome alpha subunit PrcA; assembles with beta subunit PrcB."	"UNCLASSIFIED"	""	"modification-dependent protein catabolic process" // "proteasomal protein catabolic process" // "proteolysis involved in cellular protein catabolic process" // "growth" // "pathogenesis" // "proteolysis"	"proteasome core complex, alpha-subunit complex" // "plasma membrane" // "proteasome core complex" // "cytoplasm" // "cell wall" // "proteasome complex"	"hydrolase activity" // "peptidase activity" // "protein binding" // "threonine-type endopeptidase activity"
"prcB"	"proteasome beta subunit PrcB; assembles with alpha subunit PrcA."	"UNCLASSIFIED"	""	"modification-dependent protein catabolic process" // "proteolysis involved in cellular protein catabolic process" // "growth" // "proteasomal protein catabolic process" // "pathogenesis" // "proteolysis"	"proteasome core complex, alpha-subunit complex" // "proteasome core complex, beta-subunit complex" // "plasma membrane" // "proteasome core complex" // "cytoplasm" // "extracellular region" // "proteasome complex"	"zymogen binding" // "hydrolase activity" // "peptidase activity" // "protein binding" // "threonine-type endopeptidase activity"
"prfA"	"probable peptide chain release factor 1"	"UNCLASSIFIED"	""	"growth" // "translational termination" // "translation"	"cytosol" // "cytoplasm"	"ribosome binding" // "translation release factor activity, codon specific" // "translation release factor activity"
